summary,city,state,date_time,shape,duration,text,city_latitude,city_longitude
Silver metallic disc observed at Roseland little league baseball field.,Chicago,IL,1982-06-19 15:00:00,disk,45 seconds,"Silver metallic disc observed at Roseland little league baseball field. On a clear summer day on the southside of Chicago, I was at Roseland little league baseball field with a group of other juveniles. Someone in our group said to look up. I looked up and saw a silver metallic disc in the southwest sky of our location. This object was zigzagging at such a fast rate. It was such an abnormal flight pattern. My first thought was that it was possibly a kite. So I looked down to see if anyone had a string below. After not seeing anyone below, I looked up again and continued to see this object zigzag. The best way I can think of describing what I saw is to compare it to someone holding a mirror or metal object, and then reflecting the sun off of it. The event lasted about 45 seconds. The metallic disc then just took off up and out of sight. There were no lights on it no bulb no haze or any other crafts with it.  I went home and expected to see something on the news about it. No such luck. Being that I was a juvenile at the time, I didn't really give it too much thought. I figured there had to be a rational explanation to what we had all seen. Then I figured, it couldn't be from outer space because UFO'S were always depicted to hover, have lights and land. Not be visible in Chicago of all places. This recent report of the sighting at O'Hare has compelled me to tell my story.",41.8841229180932,-87.6674748940178
"Square flying object w/white lights on corners, red light on sides, white in center. Another had one BIG red light and moved VERYY fast",Fallbrook,CA,2009-06-09 22:00:00,other,"10 minutes, on and off","Square flying object w/white lights on corners, red light on sides, white in center. Another had one BIG red light and moved VERYY fast I was in my room watching TV, then all of a sudden, I couldn't even hear my show anymore because there was this loud, high pitched humming or whistling sound. So I run to my window and look outside... there's a huge square pattern of lights, with a flashing red one that would flash on one side, then a white one would flash in the middle. So I’m freaking out running outside and staring at it. When I look again, there's another light, moving SO fast, straight towards the square one. Just when i think they're going to hit, one moves down and the other moves up, then they continue to circle around the Fallbrook/Oceanside area. There was another one that was also circling that SOUNDEDD like a helicopter, but i knew it couldn't be because of its speed. And especially as it got further away, it was moving way faster than even a jet looks like it's moving, into the same general area that the other two went to. This happened three times. Unfortunately I couldn't find a camera in time to get a picture, but on the last round... SO FAR... i almost did but it was too far away. But when I did research on s square air craft... there was no government air craft that was square with lights like this one had. Then results came up as UFOs so I had to say SOMETHING.",33.3683441176471,-117.233477205882
Glowing green cloud-like orb hanging in night sky.  ((NUFORC Note:  U. S. Navy missile launch.  PD)),Fallbrook,CA,2015-11-07 18:30:00,other,15 minutes,Glowing green cloud-like orb hanging in night sky Green glowing-ish cloud-like orb. Very large but did not capture on photo/video.  Did not seem to have a light source but was illuminated and highly visible in the dark to the naked eye.  Margins were hazy/fuzzy. It did not move but just hung there. ((NUFORC Note:  U. S. Navy missile launch.  PD)) ((NUFORC Note:  Witness elects to remain totally anonymous provides no contact information.  PD)),33.3683441176471,-117.233477205882
"I saw what I at first thought was a Vandenburg launch to the west. Instead a vapor trail, orange in color, rose in the sky and leveled ",Fallbrook,CA,1999-11-11 16:50:00,sphere,10 minutes,"I saw what I at first thought was a Vandenburg launch to the west. Instead a vapor trail, orange in color, rose in the sky and leveled out heading east. The trail remained the same size, when it was overhead I saw that there was a round object at the head and noticeably separated from the trail. I photogaphed it with my digital work camera (I am a newspaper photographer). It was probably a jet or something like that, but so unusual looking. I can send an image if you would like to see it. My brother thinks its a jet.  . When I left work around 10 miutes to five today, November 11, 1999. I noticed a trail in the sky to the west, in the directon that we usually see the Vandenburg launches, and that was what I thought it was. It was still light out, but getting dark. The vapor trail seemed to rise but never got any longer. It headed toward me, to the east. The color was orange. I thought well maybe I should photograph this, so I  my camera out of the truck and took some pictures as it came toward me, as it became level with me I could see from the ground with just my eyes that here was a round object ahead of the vapor trail, and separated from by a distance about the same sizes the round object. The trail and object looked at arms length to be about 4-5 inches long. The picture clearly shows the gap. Does a jet plane have a gap behind it and the trail? If so I guess it could be a jet, the color  the trail, very distinct. Could it be caused by the sun angle, sun was below the horizon I think. Anyway, color was unusual and certainly round shape unusual. Would the roundness be another bit of work by the sun angle? I have a picture if you think it is worthy of further study I can send it.",33.3683441176471,-117.233477205882
"4 fireballs in the sky, hovering.",Fallbrook,CA,2014-04-22 23:17:00,fireball,15 seconds,"4 fireballs in the sky, hoovering There was a glow out my daughters window, at first I thought I was seeing a reflection from an object in her room as the lights were steady.   There were 4 glowing objects, large orange glowing balls that were visable over the field in front of my home.   The dogs were barking outside.   I ran to wake my husband but by the time he responded they were gone.",33.3683441176471,-117.233477205882
Vibrant orange fireball or light that exploded in dark sky,Fallbrook,CA,2014-08-30 21:20:00,fireball,4 seconds,"Vibrant orange fireball or light that exploded in dark sky. I had just gotten into bed and just turned on my side looking out window.  I saw a very orange fireball, then it blew-up.  Everything was very fast.    I thought a plane exploded but there was nothing falling it just went dark like the sky.  It was a distance away but it was bigger then a plane would be at that distance.  I was struck by the vibrant color.   There was a little yellow around it as it seemed to explode.  No sound. Retired real estate agent.",33.3683441176471,-117.233477205882
white marbell shaped object,Fallbrook,CA,2003-04-26 15:30:00,cylinder,15 min,"white marbell shaped object I was lying down in my front yard looking up when I saw a very thin white object suspended in the air. I watched it for a few minutes, then went into the house to get my binoculars.  With the binoculars I could clearly see the shape, it resembled a white to bright silver barbell or capital I. I watched for few more munutes, it apeared to be moving slowly to the east as I heard the sound of  military fighter getting louder then it vanished. I observed the jet, it was larger than a fighter, and it looked as if it going to the spot where the object was. The object was fairly large, because it was a fair distance away. I obseved this object for 8-10 minutes.",33.3683441176471,-117.233477205882
"It was a large, round, very shiny with little black jets and a small dome on top.  It was rotating and it made no sound at all.",Chatsworth,CA,2002-06-07 11:45:00,disk,10 seconds,"It was a large, round, very shiny with little black jets and a small dome on top.  It was rotating and it made no sound at all. 3 of us in our gym class looked up and saw what first appeared to be a low-flying airplane.  It was the shiniest thing I've ever seen in my life and I can't even describe it.  It was hovering right over  an apartment bldg. across the school field.  It was very large and it made no sounds at all. It had a little dome in the middle and had little black jets all around the bottom of it.  It was in the middle of the day, very clear with no clouds or wind.  We looked away for a few seconds and it had completely dissappeared. ((NUFORC Note:  We will attempt to get the other witnesses to submit corroborating reports.  PD))",34.2547857594939,-118.588060917722
"it was small and it blinked 3 times ,the first very bright,i thought it a satelite untill it stoped and turned around and speed off in",Chatsworth,CA,2000-08-03 22:00:00,unknown,north east,"it was small and it blinked 3 times ,the first very bright,i thought it a satelite untill it stoped and turned around and speed off in I was at my boyfriends house and he was fixing his car,so I was just staring at the sky looking for satelites like my mom and I use to and i saw a very small object,like a star that you can barely see.The object moved at the speed of a satelite at first,but the strang thing that caught my eye was to see it blink,i thought maybe the satelite took a picture . I lost it for a moment and saw it again about 2 inch away and thought that moved pretty fast.It did this three times each one less bright.Then it seemed to stop and turn in a cicle , I thought that maybe I saw it do that because it was so small and so i was disorientated and thougyht I was going to loss it but it did stop and turned around, it justturned the way it came and speed off, much faster than it was moving when it was blinking,towards the moon, almost like the speed you would see a shooting star but i saw it much longer and it was a tad slower. It seemed to be red in color, like when you look at the stars and can kinda see if it is blue or red or white.I didnt lose sight of it untill it went past the moon, i couldnt follow it it was to fast.I know I saw something i am not crazy!planes dont just stoand turn around and leave faster than they came, plus it was to high in the sky looking like the smallest star you can see w/your naked eye.Im scared now.are there really aliens out there i never really worried about it but this was just staight up freaky!thank you for letting me talk about this my boyfriend thinks im seeing things but this was about a 3 1/2 min sighting i couldnt emagine something for that long, im sorry but that is just stupid.let me know what you know(if anything)about this.",34.2547857594939,-118.588060917722
"6 Red/Orange lights in formation seen in NW San Fernando Valley, CA.",Chatsworth,CA,2014-04-27 20:50:00,unknown,15-20 minutes,"6 Red/Orange lights in formation seen in NW San Fernando Valley, Ca. On April 27th at approximately 8:50 pm 6 red/orange lights appeared in the North West sky above the San Fernando Valley.  Initially they looked like planes flying in formation however, they began to dissipate in twos holding onto a formation with the first two in the west end of the formation moving southwest and then vanished from sight, one on the east end moved east and faded, the final three moved forward…south, and two dissipated together while the last one slowly moved west and initially vanished from view.    2 photos sent to email addy.",34.2547857594939,-118.588060917722
